band_name,fans,formed,origin,style,split
Ajdath,7,1995,Jordan,Death,-
Alister,7,1999,Serbia,"Thrash,Heavy",1999
Angeldark,7,2007,Spain,"Gothic,Symphonic",-
Anthropia,7,2003,France,Progressive,2003
Archivist,7,2015,,"Atmospheric black,Post-metal",-
Ariadna Project,7,1999,Argentina,Power,1999
Asgaard,7,1994,Poland,Experimental black,-
Ashbringer,7,2013,USA,Atmospheric black,2013
Astral Sleep,7,2004,Finland,"Death,Atmospheric doom",-
Atomikylä,7,2011,Finland,"Psychedelic doom,Drone",2011
Atra Vetosus,7,2011,Australia,Melodic black,-
Bakos Attila,7,2012,Hungary,Progressive,2012
Bast,7,2008,United Kingdom,"Black,Doom,Sludge",-
Beatrik,7,1998,Italy,"Black,Doom",1998
Below,7,2012,Sweden,Epic doom,-
Beltaine,7,1996,Czech Republic,Pagan folk,1996
Black Moth,7,2010,United Kingdom,"Stoner rock,Doom,Stoner",-
Black Space Riders,7,2008,Germany,"Progressive,Stoner",2008
Bone Gnawer,7,2009,Sweden,Death,2015
Bosse-De-Nage,7,2006,USA,Black,2006
Brown Jenkins,7,2006,USA,"Black,Doom",2009
Burning Circle,7,2006,Serbia,Progressive,2006
Celtachor,7,2007,Ireland,"Black,Celtic folk",-
Civilization One,7,2006,Germany,Power,2006
Colosso,7,2011,Portugal,Death,-
Comeback Kid,7,2000,Canada,"Hardcore,Metalcore",2000
Contradiction,7,1989,Germany,Thrash,-
Corporation 187,7,1995,Sweden,"Melodic death,Thrash",1995
Corpsefucking Art,7,1993,Italy,Brutal death,-
Crest Of Darkness,7,1995,Norway,Black,1995
Crystalmoors,7,1995,Spain,"Celtic black,Pagan black",-
Cynthesis,7,2010,USA,Progressive,2010
Cytotoxin,7,2010,Germany,Brutal death,-
Darkflight,7,2000,Bulgaria,"Black,Doom",2000
Dawn Of Silence,7,2000,Sweden,Melodic heavy,-
Daylight Misery,7,2008,Greece,"Gothic,Death doom",2008
Deadsquad,7,2006,Indonesia,"Brutal death,Technical death",-
Deep Mountains,7,2009,China,"Atmospheric black,Folk",2009
Devil,7,2009,Norway,"Doom,Heavy",-
Divinity Destroyed,7,1999,USA,Progressive,1999
Dodecahedron,7,2006,The Netherlands,Black,-
Dodsferd,7,2001,Greece,Black,2001
Drakkar,7,1995,Italy,Power,-
Drakum,7,2009,Spain,Folk,2009
Draugr,7,2002,Italy,"Melodic death,Pagan black",2013
Dreadful Shadows,7,1993,Germany,Gothic,1993
Edge Of Serenity,7,2007,The Netherlands,Melodic death,-
Elixir,7,1983,United Kingdom,"New,Wave,Of british heavy,Heavy",1983
Elizium,7,1991,The Netherlands,"Doom,Gothic",-
Enemy Of Reality,7,2013,Greece,Symphonic progressive,2013
Eternal Idol,7,2016,Italy,"Power,Symphonic,Heavy,Progressive",-
Fistula,7,1998,USA,"Sludge,Drone doom",1998
Flagitious Idiosyncrasy In The Dilapidation,7,2001,Japan,Grindcore,-
Forgive Me,7,2009,Jordan,Depressive black,2009
Fragile Vastness,7,2000,Greece,"Progressive,Progressive rock",-
Gnostic,7,2005,USA,"Technical death,Technical thrash",2005
Graveyard Dirt,7,1994,Ireland,"Death,Doom",-
Gridlink,7,2004,USA,Technical grindcore,2004
Harlott,7,2006,Australia,Thrash,-
Heaven Grey,7,1993,Latvia,Gothic doom,1993
Hel,7,1994,Germany,Pagan folk,2012
Ignivomous,7,2006,Australia,Death,2006
Illuminata,7,2006,Austria,"Melodic power,Gothic",-
Immensity,7,2009,Greece,Atmospheric doom,2009
Infernal Poetry,7,1996,Italy,"Experimental death,Progressive death",2014
Insanity,7,1985,USA,Death,1985
Interitus,7,1993,Czech Republic,Symphonic,-
Isvind,7,1993,Norway,Black,1993
J.B.O.,7,1989,Germany,"Industrial,Comedy rock",-
Jacobs Dream,7,2000,USA,"Us power,Progressive",2000
Jig-Ai,7,2005,Czech Republic,"Death,Grindcore",-
Kadavar,7,2007,Italy,Death,2007
KerecsenSólyom,7,2004,Hungary,Symphonic folk,-
Lapis Lazuli,7,2005,Sweden,Symphonic,2005
Legend,7,1978,USA,"Heavy,Progressive rock",1979
Litrosis,7,2010,Greece,"Symphonic black,Extreme power",2010
Logar's Diary,7,1998,Germany,Power,-
Luctus,7,2001,Lithuania,"Black,Thrash",2001
Lumus,7,2009,USA,Symphonic power,-
Lust Of Decay,7,1996,USA,"Thrash,Brutal death",1996
Lvcifyre,7,2007,United Kingdom,"Black,Death",-
Magnitude 9,7,1998,USA,"Progressive,Power",1998
Malice,7,1980,USA,"Us heavy,Power",-
Mastic Scum,7,1992,Austria,Grindcore,1992
Messiah's Kiss,7,2001,Germany,Heavy,-
Midnight Priest,7,2008,Portugal,Heavy,2008
Moon,7,2007,Australia,Black,-
Morost,7,2010,Slovenia,Progressive death,2010
Mortal Decay,7,1991,USA,Brutal death,-
Nibiru,7,2012,Italy,"Psychedelic sludge,Drone",2012
Nydvind,7,2000,France,Pagan black,-
Odyssea,7,2004,Italy,"Heavy,Power",2004
Operatika Element,7,2002,USA,Symphonic power,-
Palms,7,2011,USA,"Post-rock,Post-metal",2011
Posthumous Blasphemer,7,2001,Belarus,Technical death,-
Poverty's No Crime,7,1991,Germany,Progressive,1991
Project: Failing Flesh,7,2001,USA,"Industrial thrash,Avantgarde",-
Putrevore,7,2004,Spain,Death,2004
Quadrivium,7,2005,Norway,"Avantgarde,Black",-
RandomWalk,7,2005,Greece,"Gothic,Metalcore",2005
Rorcal,7,2006,Switzerland,"Doom,Sludge,Hardcore,Black",-
Rumpelstiltskin Grinder,7,2002,USA,Technical thrash,2002
Sanctium,7,2007,Australia,"Melodic death,Progressive",-
Seven Thorns,7,1998,Denmark,Power,1998
Shroud Of Bereavement,7,1996,USA,"Death doom,Neoclassical",-
Silent Kingdom,7,1999,Bosnia and Herzegovina,"Melodic death,Extreme folk",1999
Silent Planet,7,2010,USA,Metalcore,-
Slartibartfass,7,2005,Germany,Viking folk,2005
So Much For Nothing,7,2007,Norway,"Avantgarde,Depressive black",-
Sorcery (Swe),7,1986,Sweden,Death,1986
Soulburn,7,1996,The Netherlands,Death,-
Spiders,7,2010,Sweden,"Hard rock,Heavy",2010
Stick To Your Guns,7,2003,USA,"Metalcore,Hardcore",-
Strydegor,7,2005,Germany,Viking black,2005
Su Ta Gar,7,1987,Spain,Heavy,-
Subhuman,7,2001,Italy,"Death,Thrash",2001
Subliminal Fear,7,2001,Italy,Melodic death,-
Sycronomica,7,1996,Germany,Melodic black,1996
The Dogma,7,1999,Italy,Symphonic power,-
The Drowning,7,2004,United Kingdom,"Doom,Death",2004
The Great Deceiver,7,2000,Sweden,Alternative,-
The Moth Gatherer,7,2009,Sweden,"Post-metal,Sludge",2009
The Soulless,7,2010,United Kingdom,Melodic metalcore,-
The Storyteller,7,1995,Sweden,"Heavy,Power",1995
The Wandering Midget,7,2005,Finland,Doom,-
Thirdmoon,7,1994,Austria,Death,1994
Thor,7,1973,Canada,"Hard rock,Heavy,Power",-
Thundra,7,1998,Norway,Viking black,1998
Thy Worshiper,7,1993,Poland,"Pagan folk,Black",-
Tublatanka,7,1982,Slovak Republic,"Melodic heavy,Hard rock",1982
Tysondog,7,1983,United Kingdom,"New wave of british heavy,Heavy",-
Unfathomable Ruination,7,2010,United Kingdom,Brutal death,2010
Urt,7,2004,Estonia,Pagan black,-
Usnea,7,2011,USA,Blackened doom,2011
Valkiria,7,1996,Italy,"Gothic,Black",-
Vaura,7,2012,USA,Progressive,2012
Vemod,7,2000,Norway,Black,-
Venomous Concept,7,2004,USA,"Grindcore,Hardcore,Punk",2004
Verwüstung,7,2010,USA,"Ambient black,Shoegaze,Drone doom,Post-,Rock",-
Vicious Art,7,2002,Sweden,"Death,Thrash",2002
Wallachia,7,1992,Norway,Symphonic black,-
War From A Harlots Mouth,7,2005,Germany,"Math,Metalcore",2005
Warrior,7,1983,USA,"Heavy,Power",-
Wiegedood,7,2014,Belgium,Black,2014
Winter's Verge,7,2004,Cyprus,Power,-
Wolfpakk,7,2010,Germany,Heavy,2010
Wraith Of The Ropes,7,2001,USA,Funeral doom,-
2 Times Terror,6,2006,Finland,Industrial,2006
5 Star Grave,6,2005,Italy,Melodic death,-
Abysmal Grief,6,1995,Italy,Gothic doom,1995
Adversarial,6,2007,Canada,Blackened death,-
Age Of Artemis,6,2006,Brazil,Melodic power,2006
Airborn,6,1995,Italy,Power,-
Airged L'amh,6,1987,Greece,"Heavy,Power,Folk",1987
Aletheian,6,2003,USA,Melodic death,-
Alkemyst,6,1998,France,Progressive power,1998
Allfader,6,2001,Norway,"Black,Death",-
Altar (ROM),6,1991,Romania,Thrash,1991
Amestigon,6,1993,Austria,Black,-
Amulance,6,1984,USA,"Power,Speed",1984
Angel Blake,6,2004,Sweden,Heavy,-
Antropofagus,6,1998,Italy,Brutal death,1998
Aoria,6,2007,Sweden,"Progressive,Post-rock",-
Arkham Witch,6,2008,United Kingdom,Doom,2008
Artefact,6,2000,France,Melodic black,-
Asenblut,6,2006,Germany,Pagan black,2006
Aska,6,1990,USA,"Heavy,Us power",-
Aspherium,6,2007,Norway,Melodic death,2007
Balrog,6,1999,France,Black,-
Bastard Priest,6,2002,Sweden,Death,2002
Behind The Scenery,6,1996,Germany,"Gothenburg,Progressive",-
Benighted In Sodom,6,2004,USA,Atmospheric black,2004
Bergraven,6,2002,Sweden,Black,-
Bible Of The Devil,6,1999,USA,Stoner,1999
Big End Bolt,6,2007,Russia,Brutal death,-
Birth Of Depravity,6,2005,Greece,Brutal death,2005
Blöod Düster,6,1991,Australia,Grindcore,-
Black Autumn,6,1995,Germany,"Ambient black,Doom",1995
Black Bomb A,6,1995,France,Metalcore,-
Black Monolith,6,2010,USA,"Black,Post-metal,Crust,Punk",2010
Black Steel,6,2000,Australia,"Heavy,Power",-
Blackstar Halo,6,1998,Finland,Melodic heavy,1998
Bumblefoot,6,1998,USA,Progressive hard rock,-
Burn The Priest,6,1994,USA,Death,1994
Buzzov?en,6,1989,USA,Sludge,-
Cain's Dinasty,6,2006,Spain,Power,2006
Car Bomb,6,2000,USA,"Math,Metalcore",-
Carpathian Full Moon,6,1990,Norway,"Black,Doom",1990
Cauldron Born,6,1994,USA,Us power,2003
Centurian,6,1997,The Netherlands,Death,1997
Cerebral Fix,6,1986,United Kingdom,Thrash,-
Chapel Of Disease,6,2008,Germany,Death,2008
Clinging To The Trees Of A Forest Fire,6,2006,USA,Grindcore,2013
Cold Snap,6,2003,Croatia,Nu,2003
Coldworker,6,2006,Sweden,Death,2013
Crimson Death,6,1994,Peru,Gothenburg,1994
Crises,6,1995,Germany,Progressive,-
Crocell,6,2007,Denmark,Melodic death,2007
Cruxifiction,6,2005,France,"Melodic black,Death,Thrash",-
Dämmerfarben,6,2005,Germany,Atmospheric black,2005
Dark Illusion,6,1982,Sweden,"Hard rock,Power",-
Deathember,6,2008,Sweden,Groove thrash,2008
Decayed,6,1990,Portugal,Black,-
Decaying,6,2010,Finland,Death,2010
December's Cold Winter,6,2000,Costa Rica,Melodic death,2009
Degial,6,2004,Sweden,Death,2004
Detrimentum,6,1996,United Kingdom,Death,-
Dimlight,6,2006,Greece,Gothic,2006
Disgorge (MEX),6,1994,Mexico,"Brutal death,Grindcore",-
Doctor Cyclops,6,2007,Italy,"Doom,Psychedelic rock",2007
Dragobrath,6,2004,Ukraine,Black,-
Dragonhammer,6,1999,Italy,Power,1999
Dysnomia,6,2007,Spain,Melodic death,-
Earthship,6,2010,Germany,Sludge,2010
Eclipse Hunter,6,2004,Russia,Progressive power,-
Elenium,6,1995,Finland,Melodic death,1995
Embassy Of Silence,6,2007,Finland,"Progressive,Symphonic",-
Empyrean,6,2003,Australia,Symphonic death,2003
Fórn,6,2012,USA,"Doom,Sludge",-
Fastkill,6,1996,Japan,Thrash,1996
Fimbulvet,6,2003,Germany,Pagan folk,-
Firespawn,6,2015,Sweden,Death,2015
From The Vastland,6,2010,"Iran, Norway",Black,-
Fuath,6,2015,United Kingdom,Atmospheric black,2015
Fuck I'm Dead,6,2000,Australia,Grindcore,-
Furia,6,1997,France,"Death,Heavy",1997
Gevolt,6,2001,Israel,Industrial folk,-
Gigan,6,2006,USA,"Progressive death,Technical death",2006
Gjallarhorn,6,2003,Italy,Viking folk,-
GOD · The Barbarian Horde,6,1993,Romania,"Atmospheric gothic,Pagan folk",1993
Gonin-ish,6,1996,Japan,Extreme progressive,-
Gorath,6,1995,Belgium,Black,1995
Grey Widow,6,2013,United Kingdom,"Doom,Blackened sludge",-
Heart Attack,6,2007,France,Groove thrash,2007
Hegemon,6,1996,France,Black,-
Hell Militia,6,2001,France,Black,2001
Hetroertzen,6,2001,Chile,Black,-
Holocausto,6,1985,Brazil,"Black,Thrash,Technical thrash",1985
Homo Iratus,6,1998,Greece,Death,-
Hope Drone,6,2011,Australia,"Atmospheric black,Post-metal",2011
Horse Latitudes,6,2009,Finland,"Doom,Sludge",-
Icarus Witch,6,2004,USA,Heavy,2004
Icycore,6,1998,Italy,Progressive,-
Immersed,6,2008,Canada,Death,2008
In Each Hand A Cutlass,6,2011,Singapore,"Post-metal,Progressive",-
Insidious Disease,6,2004,Norway,Death,2004
Interitus Dei,6,1994,Romania,Gothic,-
Isacaarum,6,1994,Czech Republic,"Death,Grindcore",1994
Jack Starr's Burning Starr,6,1984,USA,"Heavy,Us power",-
Jaguar,6,1979,United Kingdom,"Heavy,New wave of british heavy",1979
JesusMartyr,6,1994,Argentina,"Death,Thrash",-
Joel Grind,6,2012,USA,"Black,Speed",2012
Kall,6,2012,Sweden,Depressive black,-
Killing Touch,6,2008,Italy,Melodic power,2008
King Goat,6,2012,United Kingdom,Psychedelic doom,-
Kjeld,6,2004,The Netherlands,Black,2004
Lîvi,6,1976,Latvia,"Hard rock,Heavy",2010
Lancer,6,2009,Sweden,"Speed,Power",2009
Lilitu,6,1999,USA,"Death,Gothic",-
Lost Inside,6,2009,USA,"Depressive black,Atmospheric black",2009
Magenta Harvest,6,2005,Finland,Melodic death,-
Medicated,6,2005,Finland,Melodic death,2005
Men Eater,6,2004,Portugal,"Stoner,Sludge",-
Mesmerize,6,1988,Italy,Heavy,1988
Mistress,6,1999,United Kingdom,"Death,Grindcore,Sludge",2008
Morne,6,2005,USA,"Post-metal,Sludge",2005
Morphinist,6,2013,Germany,"Atmospheric black,Post-metal",-
Mors Subita,6,1999,Finland,"Melodic death,Thrash",1999
Mourning Caress,6,1998,Germany,Depressive heavy,2015
Mourning Dawn,6,2002,France,Depressive black,2002
Myrkvar,6,2003,The Netherlands,"Black,Folk",-
Nàttsòl,6,2006,Norway,"Black,Folk",2006
Netra,6,2003,France,"Black,Trip-,Hop,Ambient",-
NightCreepers,6,2003,France,"Folk,Pagan black",2003
Njiqahdda,6,2005,USA,"Atmospheric black,Psychedelic rock",-
Non Opus Dei,6,1997,Poland,Black,1997
Oblivion,6,2008,USA,Technical death,-
Occultation,6,2010,USA,Doom,2010
Old Corpse Road,6,2008,United Kingdom,"Black,Folk",-
Onward,6,1999,USA,Us power,1999
Order Of Orias,6,2004,Australia,Black,-
Ossastorium,6,2001,Lithuania,Technical death,2001
Oz,6,1977,"Finland, Sweden",Heavy,-
Project Silence,6,2008,Finland,Industrial,2008
Sad,6,2005,Greece,Black,-
Sammath Naur,6,1999,Poland,"Avantgarde black,Death",1999
Satanic Slaughter,6,1985,Sweden,"Black,Death,Thrash",-
Saviours,6,2004,USA,Stoner,2004
Scamp,6,2003,Denmark,Thrash,-
Scelerata,6,2002,Brazil,Power,2002
Seven Sisters Of Sleep,6,2009,USA,"Sludge,Hardcore",-
Shadowgarden,6,1996,Sweden,"Gothic,Gothic rock",1996
Silent Opera,6,2007,France,Symphonic gothic,-
Sithu Aye,6,2011,United Kingdom,Progressiveinstrumental,2011
Skeletal Spectre,6,2008,Sweden,"Death,Doom",2014
Skyward,6,2000,Finland,Symphonic power,2000
Smothered,6,2010,Sweden,Death,-
Sonne Adam,6,2007,Israel,Death,2007
Sorrows Path,6,1993,Greece,"Power,Doom",-
Soul Stealer,6,2003,Lithuania,"Heavy,Power",2003
StarGazer,6,1995,Australia,"Avantgarde black,Death",-
Stench,6,2007,Sweden,Death,2007
Steve Grimmett's Grim Reaper,6,2006,United Kingdom,Heavy,-
Supreme Pain,6,2006,The Netherlands,Death,2006
Svarti Loghin,6,2005,Sweden,"Black,Neofolk",-
Take Over And Destroy,6,2008,USA,Blackened sludge,2008
The Antichrist Imperium,6,2010,United Kingdom,"Black,Death",-
The Disciples Of Zoldon,6,2005,New Zealand,"Death,Doom",2005
The Equinox Ov The Gods,6,1990,Sweden,"Doom,Gothic",-
The Funeral Orchestra,6,2002,Sweden,Funeral doom,2002
The Lamp Of Thoth,6,2006,United Kingdom,Doom,-
The Levitation Hex,6,2010,Australia,Extreme progressive,2010
The Rain I Bleed,6,2008,Greece,Progressive symphonic,-
Throane,6,2016,France,Industrial black,2016
Thy?,6,2002,USA,"Progressive,Metalcore",2012
Trist (CZE),6,2003,Czech Republic,Depressive black,2003
Triumph,6,1975,Canada,"Hard rock,Progressive rock",-
Troldhaugen,6,2008,Australia,Experimental folk,2008
Twins Crew,6,2007,Sweden,"Heavy,Power",-
Twinspirits,6,2002,Italy,Progressive,2002
Uncanny,6,1989,Sweden,Death,-
Utstøtt,6,2013,USA,Atmospheric black,2013
Vanhelga,6,2001,Sweden,Black,-
Vanitas,6,1996,Austria,Gothic,1996
Vesperia,6,2005,Canada,"Black,Symphonic folk,Celtic death",-
Vexillum,6,2004,Italy,"Melodic power,Folk",2004
Vulvodynia,6,2014,South Africa,"Brutal death,Deathcore",-
We Are The Catalyst,6,2012,Sweden,Alternative,2012
Where Angels Fall,6,2003,Norway,Gothic,-
WHOURKR,6,2005,France,"Experimental death,Cybergrind",2005
Winterdome,6,1996,Germany,Folk,-
Wishdoom,6,2007,Greece,"Heavy,Doom",2007
Witchsorrow,6,2005,United Kingdom,Doom,-
Yorblind,6,2002,France,Gothenburg,2002
Yyl,6,2014,France,"Industrial,Post-metal,Progressive",-
11 As In Adversaries,5,2010,France,Extreme avantgarde,2010
A Loathing Requiem,5,2007,USA,Technical death,-
A Night In Texas,5,2010,Australia,Technical deathcore,2010
Abhorrence,5,1989,Finland,Death,-
Abstrakt Algebra,5,1995,Sweden,"Doom,Heavy",1995
Adamantine,5,2006,Portugal,Melodic thrash,-
Altar Of Betelgeuze,5,2010,Finland,"Death doom,Stoner",2010
Ancient Ceremony,5,1989,Germany,Melodic black,2005
Anguish,5,2007,Sweden,Doom,2007
Apati,5,2008,Sweden,Depressive black,2011
Apotheosis,5,1993,Malta,"Symphonic black,Thrash",1993
Arachnes,5,1995,Italy,Power,-
Asgaroth,5,1995,Spain,"Melodic black,Doom",1995
Astral Domine,5,2011,Italy,Symphonic power,-
At War,5,1983,USA,"Speed,Thrash",1983
Auroch,5,2006,Canada,"Thrash,Blackened death",-
Author & Punisher,5,2004,USA,"Industrial doom,Drone",2004
Autokrator,5,2014,France,"Industrial death,Drone",-
Autolatry,5,2009,USA,"Melodic black,Progressive black",2009
Avsky,5,2002,Sweden,Black,-
Balance Of Power,5,1995,United Kingdom,Progressive,1995
Beautality,5,2009,United Kingdom,"Atmospheric black,Progressive black",-
Black Oath,5,2006,Italy,Doom,2006
Blacklodge,5,1998,France,Industrial black,-
Blasphemophagher,5,2002,Italy,"Black,Death",2002
Blood Farmers,5,1989,USA,Doom,-
Bloodway,5,2013,Romania,Progressive black,2013
Bombs Of Hades,5,2002,Sweden,Death,-
Chain Collector,5,2003,Norway,Melodic death,2003
Chainsaw,5,1997,Poland,"Heavy,Power",-
Changer,5,1999,Iceland,"Thrash,Death",1999
Chrch,5,2015,USA,"Doom,Sludge",-
Cold Cell,5,2012,Switzerland,Black,2012
Continuo Renacer,5,1994,Spain,"Technical death,Progressive,Instrumental",-
Corelia,5,2010,USA,Progressive,2010
Corpus Mortale,5,1993,Denmark,Brutal death,-
Cretin,5,1992,USA,"Death,Grindcore",1992
Crown Of Autumn,5,1996,Italy,Gothic,-
Cult Of Daath,5,1999,USA,Black,1999
Cut Up,5,2014,Sweden,Death,-
Détente,5,1984,USA,"Speed,Thrash",1984
D.C. Cooper,5,1998,USA,Progressive,-
Dark Sermon,5,2009,USA,"Death,Deathcore",2009
Dark Tribe,5,1997,Germany,Black,2015
Darkmoon,5,1997,Switzerland,"Extreme gothic,Melodic death,Black,Thrash",1997
Dauntless,5,1991,Finland,"Thrash,Death",-
Dead Summer Society,5,2010,Italy,Gothic doom,2010
Decrepitaph,5,2005,USA,Death,-
Deep-Pression,5,2006,Poland,"Black,Doom",2006
Deluge,5,2013,France,"Black,Post-metal,Hardcore",-
Denouncement Pyre,5,2003,Australia,"Black,Death",2003
Derelict Earth,5,2009,France,Extreme progressive,-
Devious,5,1998,The Netherlands,Death,1998
Die Like Gentlemen,5,2012,USA,Progressive sludge,-
Distress,5,1996,France,"Death doom,Gothic doom,Progressive doom",1996
Divercia,5,1998,Finland,Suomi,-
Drawn And Quartered,5,1993,USA,Death,1993
Drottnar,5,1996,Norway,"Death,Black,Technical black",-
Dystera,5,2006,Switzerland,Symphonic power,2006
Dystopia,5,2003,Hungary,Progressive heavy,-
Dystopia Nå!,5,2010,Norway,Depressive black,2010
Eccentric Pendulum,5,2008,India,Progressive,-
Eciton,5,2000,Denmark,Death,2000
Ego Depths,5,2007,"Ukraine, Canada",Funeral doom,-
Elite,5,2001,Norway,Black,2001
Elvenpath,5,2001,Germany,Power,-
Elyose,5,2009,France,"Industrial,Gothic",2009
Empty Tremor,5,1993,Italy,Progressive,-
Enabler,5,2010,USA,"Hardcore,Metalcore,Punk",2010
Encoffination,5,2008,USA,Death doom,-
End Of Aeon,5,2011,Finland,"Death doom,Melodic death",2011
Episode 13,5,2001,Turkey,Black,-
Epoch Of Unlight,5,1990,USA,"Black,Death",1990
Esoterica,5,2011,USA,Black,2016
Estertor,5,1996,Bolivia,"Melodic death,Doom",1996
Eternal Elysium,5,1991,Japan,"Psychedelic doom,Stoner",-
Eternity's End,5,2014,Germany,"Progressive,Power",2014
Euphoric Defilement,5,2009,USA,Brutal death,-
Exiled From Light,5,2007,New Zealand,Depressive black,2007
Fifth To Infinity,5,1997,Sweden,"Black,Death",-
For Selena And Sin,5,2004,Finland,"Gothic,Suomi",2004
Force Of Evil,5,2002,Denmark,Heavy,-
Genius: A Rock Opera,5,2002,Italy,Symphonic power,2002
Goat The Head,5,2002,Norway,Death,-
Godiva,5,2001,Switzerland,Heavy,2001
Grá,5,2010,Sweden,Black,-
Grey Skies Fallen,5,1997,USA,"Melodic death,Progressive",1997
Hades,5,1992,Norway,Black,1998
Hadriel,5,2007,Sweden,Progressive doom,2007
Haiduk,5,2009,Canada,"Melodic death,Thrash,Brutal death",-
Hail!Hornet,5,2006,USA,Sludge,2006
Hate Meditation,5,2003,USA,Black,-
Hatred,5,1998,Germany,Thrash,1998
Heavy Lord,5,2002,The Netherlands,"Doom,Sludge",-
Herder,5,2010,The Netherlands,"Sludge,Stoner",2010
Hideous Divinity,5,2007,Italy,"Brutal death,Technical death",-
Iconocaust,5,2005,USA,"Death,Thrash",2005
Ilium,5,1998,Australia,Power,-
Illuminati,5,2008,Romania,"Progressive thrash,Technical death",2008
InAeona,5,2009,USA,Progressive,-
Inhume,5,1994,The Netherlands,"Brutal death,Grindcore",1994
Just Before Dawn,5,2012,Sweden,Death,-
Kalidia,5,2010,Italy,Symphonic power,2010
Kataplexia,5,2002,Finland,Brutal death,-
Kick Axe,5,1976,Canada,"Glam,Heavy",1976
Krv,5,2003,Bosnia and Herzegovina,Black,2010
Lantern,5,2007,Finland,Death,2007
Lecherous Nocturne,5,1997,USA,"Brutal death,Technical death",-
Lethal,5,1982,USA,Us power,1982
Lords Of The Trident,5,2008,USA,Heavy,-
Louna,5,2008,Russia,"Nu,Alternative rock",2008
Maim,5,2006,Sweden,Death,-
Manic Movement,5,1993,Belgium,"Death,Symphonic",1993
Manii,5,2011,Norway,Depressive black,-
Marshall Law,5,1988,United Kingdom,"Heavy,Power",1988
Mendel,5,2011,The Netherlands,"Progressive,Instrumental",-
Mephorash,5,2010,Sweden,Black,2010
Metallic Taste Of Blood,5,2011,,"Progressive,Instrumental",-
Moonreich,5,2008,France,Black,2008
More,5,1979,United Kingdom,"New wave of british heavy,Heavy",2000
Mutilation Rites,5,2009,USA,Black,2009
My Enchantment,5,2000,Portugal,Black,-
Myraeth,5,2009,Australia,"Death doom,Gothic",2009
Névoa,5,2014,Portugal,Atmospheric black,-
Nitro,5,1987,USA,"Heavy,Glam",1987
Noein,5,2007,France,Industrial death,-
Nontinuum,5,2010,Australia,"Atmospheric black,Depressive black",2010
Noothgrush,5,1994,USA,"Doom,Sludge",-
Noturna,5,2002,Brazil,"Gothic,Progressive",2002
Noveria,5,2014,Italy,Power,-
